trace_index,call_type,from,to,value_eth,decoded_input
0,,0xad2cb8f48e74065a0b884af9c5a4ecbba101be23,,0.0,
1,,0x1e2d48e640243b04a9fa76eb49080e9ab110b4ac,,0.0,
2,call,0x1e2d48e640243b04a9fa76eb49080e9ab110b4ac,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0.0,start()
3,staticcall,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0.0,balanceOf(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
4,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0.0,earnedToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
5,delegatecall,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x559bee76ec549e70630e451d46cb442ef5c230fd,0.0,earnedToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
6,staticcall,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0x10ed43c718714eb63d5aa57b78b54704e256024e,0.0,"getAmountsIn(uint256=96605739642631517916080400,address[]=('0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c', '0xc321ac21a07b3d593b269acdace69c3762ca2dd0'))"
7,staticcall,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0.0,getReserves()
8,call,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0x172fcd41e0913e95784454622d1c3724f546f849,0.0,"flash(address=0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,uint256=0,uint256=2813769505544453342436,bytes=0x00000000000000000000000000000000000000000000009888e5694d8ba9c4e4)"
9,staticcall,0x172fcd41e0913e95784454622d1c3724f546f849,0x55d398326f99059ff775485246999027b3197955,0.0,balanceOf(address=0x172fcd41e0913e95784454622d1c3724f546f849)
10,staticcall,0x172fcd41e0913e95784454622d1c3724f546f849,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,balanceOf(address=0x172fcd41e0913e95784454622d1c3724f546f849)
11,call,0x172fcd41e0913e95784454622d1c3724f546f849,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,"transfer(address=0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,uint256=2813769505544453342436)"
12,call,0x172fcd41e0913e95784454622d1c3724f546f849,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0.0,"pancakeV3FlashCallback(uint256=0,uint256=281376950554445335,bytes=0x00000000000000000000000000000000000000000000009888e5694d8ba9c4e4)"
13,call,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,"approve(address=0x10ed43c718714eb63d5aa57b78b54704e256024e,uint256=115792089237316195423570985008687907853269984665640564039457584007913129639935)"
