trace_index,call_type,from,to,value_eth,decoded_input
0,call,0xe3223f7e3343c2c8079f261d59ee1e513086c7c3,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0.0,
1,staticcall,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0xa68f6075ae62ebd514d1600cb5035fa0e2210ef8,0.0,
2,staticcall,0xa68f6075ae62ebd514d1600cb5035fa0e2210ef8,0x33128a8fc17869897dce68ed026d694621f6fdfd,0.0,"getPool(address=0x4200000000000000000000000000000000000006,address=0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,uint24=200)"
3,staticcall,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x1c450d7d1fd98a0b04e30decfc83497b33a4f608,0.0,slot0()
4,staticcall,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0xa68f6075ae62ebd514d1600cb5035fa0e2210ef8,0.0,
5,staticcall,0xa68f6075ae62ebd514d1600cb5035fa0e2210ef8,0x33128a8fc17869897dce68ed026d694621f6fdfd,0.0,"getPool(address=0x4200000000000000000000000000000000000006,address=0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,uint24=500)"
6,staticcall,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0xd0b53d9277642d899df5c87a3966a349a798f224,0.0,slot0()
7,staticcall,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0xd0b53d9277642d899df5c87a3966a349a798f224,0.0,slot0()
8,staticcall,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0xa68f6075ae62ebd514d1600cb5035fa0e2210ef8,0.0,
9,staticcall,0xa68f6075ae62ebd514d1600cb5035fa0e2210ef8,0x33128a8fc17869897dce68ed026d694621f6fdfd,0.0,"getPool(address=0x4200000000000000000000000000000000000006,address=0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,uint24=200)"
10,staticcall,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x4200000000000000000000000000000000000006,0.0,balanceOf(address=0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb)
11,staticcall,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0,balanceOf(address=0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb)
12,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,balanceOf(address=0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb)
13,staticcall,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x4200000000000000000000000000000000000006,0.0,balanceOf(address=0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb)
14,staticcall,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0,balanceOf(address=0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb)
15,delegatecall,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x2ce6311ddae708829bc0784c967b7d77d19fd779,0.0,balanceOf(address=0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb)
16,call,0x98e938899902217465f17cf0b76d12b3dca8ce1b,0x4200000000000000000000000000000000000006,0.0,"approve(address=0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,uint256=10544813644832897955984)"
